"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:13:07:35.777,2018:05:17:14:22:35.545,4499.768
2018:05:17:18:11:19.269,2018:05:17:19:26:19.528,4500.259
2018:05:17:23:15:02.758,2018:05:18:00:30:03.483,4500.725
2018:05:18:04:18:46.253,2018:05:18:05:33:47.420,4501.167
2018:05:18:09:22:29.749,2018:05:18:10:37:31.332,4501.582
2018:05:18:14:26:13.249,2018:05:18:15:41:15.222,4501.973
2018:05:18:19:29:56.754,2018:05:18:20:44:59.090,4502.336
2018:05:19:00:33:40.261,2018:05:19:01:48:42.932,4502.671
2018:05:19:05:37:23.778,2018:05:19:06:52:26.755,4502.978
2018:05:19:10:41:07.301,2018:05:19:11:56:10.559,4503.258
2018:05:19:15:44:50.833,2018:05:19:16:59:54.343,4503.511
2018:05:19:20:48:34.371,2018:05:19:22:03:38.101,4503.730
2018:05:20:01:52:17.923,2018:05:20:03:07:21.843,4503.920
2018:05:20:06:56:01.484,2018:05:20:08:11:05.566,4504.081
2018:05:20:11:59:45.060,2018:05:20:13:14:49.272,4504.212
2018:05:20:17:03:28.643,2018:05:20:18:18:32.956,4504.313
2018:05:20:22:07:12.244,2018:05:20:23:22:16.628,4504.384
2018:05:21:03:10:55.859,2018:05:21:04:26:00.281,4504.423
2018:05:21:08:14:39.488,2018:05:21:09:29:43.922,4504.435
2018:05:21:13:18:23.128,2018:05:21:14:33:27.542,4504.414
2018:05:21:18:22:06.791,2018:05:21:19:37:11.153,4504.362
2018:05:21:23:25:50.468,2018:05:22:00:40:54.749,4504.281
2018:05:22:04:29:34.164,2018:05:22:05:44:38.337,4504.173
2018:05:22:09:33:17.874,2018:05:22:10:48:21.909,4504.035
2018:05:22:14:37:01.607,2018:05:22:15:52:05.475,4503.867
2018:05:22:19:40:45.356,2018:05:22:20:55:49.030,4503.674
2018:05:23:00:44:29.125,2018:05:23:01:59:32.578,4503.454
2018:05:23:05:48:12.909,2018:05:23:07:03:16.115,4503.206
2018:05:23:10:51:56.719,2018:05:23:12:06:59.648,4502.929
2018:05:23:15:55:40.549,2018:05:23:17:10:43.177,4502.628
2018:05:23:20:59:24.397,2018:05:23:22:14:26.702,4502.305
2018:05:24:02:03:08.262,2018:05:24:03:18:10.220,4501.957
2018:05:24:07:06:52.153,2018:05:24:08:21:53.740,4501.587
2018:05:24:12:10:36.062,2018:05:24:13:25:37.257,4501.194
2018:05:24:17:14:19.993,2018:05:24:18:29:20.775,4500.782
2018:05:24:22:18:03.940,2018:05:24:23:33:04.290,4500.350
2018:05:25:03:21:47.913,2018:05:25:04:36:47.810,4499.896
2018:05:25:08:25:31.907,2018:05:25:09:40:31.332,4499.425
2018:05:25:13:29:15.918,2018:05:25:14:44:14.859,4498.941
2018:05:25:18:32:59.948,2018:05:25:19:47:58.392,4498.445
2018:05:25:23:36:44.000,2018:05:26:00:51:41.925,4497.925
2018:05:26:04:40:28.072,2018:05:26:05:55:25.468,4497.396
2018:05:26:09:44:12.163,2018:05:26:10:59:09.018,4496.856
2018:05:26:14:47:56.273,2018:05:26:16:02:52.579,4496.306
2018:05:26:19:51:40.398,2018:05:26:21:06:36.144,4495.746
2018:05:27:00:55:24.545,2018:05:27:02:10:19.722,4495.177
2018:05:27:05:59:08.708,2018:05:27:07:14:03.313,4494.605
2018:05:27:11:02:52.888,2018:05:27:12:17:46.916,4494.028
