"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:05:17:13:47:29.976,13649.976
2018:05:17:14:42:20.929,2018:05:17:20:11:26.194,19745.265
2018:05:17:21:06:17.162,2018:05:18:02:35:22.429,19745.267
2018:05:18:03:30:13.407,2018:05:18:08:59:18.686,19745.279
2018:05:18:09:54:09.668,2018:05:18:15:23:14.955,19745.287
2018:05:18:16:18:05.949,2018:05:18:21:47:11.249,19745.300
2018:05:18:22:42:02.257,2018:05:19:04:11:07.566,19745.309
2018:05:19:05:05:58.586,2018:05:19:10:35:03.908,19745.322
2018:05:19:11:29:54.937,2018:05:19:16:59:00.275,19745.338
2018:05:19:17:53:51.313,2018:05:19:23:22:56.669,19745.355
2018:05:20:00:17:47.717,2018:05:20:05:46:53.090,19745.373
2018:05:20:06:41:44.150,2018:05:20:12:10:49.540,19745.390
2018:05:20:13:05:40.614,2018:05:20:18:34:46.019,19745.405
2018:05:20:19:29:37.104,2018:05:21:00:58:42.527,19745.423
2018:05:21:01:53:33.622,2018:05:21:07:22:39.065,19745.444
2018:05:21:08:17:30.175,2018:05:21:13:46:35.634,19745.459
2018:05:21:14:41:26.754,2018:05:21:20:10:32.233,19745.479
2018:05:21:21:05:23.368,2018:05:22:02:34:28.862,19745.494
2018:05:22:03:29:20.010,2018:05:22:08:58:25.522,19745.512
2018:05:22:09:53:16.679,2018:05:22:15:22:22.210,19745.531
2018:05:22:16:17:13.385,2018:05:22:21:46:18.928,19745.544
2018:05:22:22:41:10.117,2018:05:23:04:10:15.679,19745.562
2018:05:23:05:05:06.876,2018:05:23:10:34:12.452,19745.576
2018:05:23:11:29:03.667,2018:05:23:16:58:09.256,19745.589
2018:05:23:17:53:00.488,2018:05:23:23:22:06.086,19745.598
2018:05:24:00:16:57.334,2018:05:24:05:46:02.943,19745.609
2018:05:24:06:40:54.207,2018:05:24:12:09:59.825,19745.618
2018:05:24:13:04:51.103,2018:05:24:18:33:56.731,19745.628
2018:05:24:19:28:48.027,2018:05:25:00:57:53.660,19745.633
2018:05:25:01:52:44.973,2018:05:25:07:21:50.611,19745.638
2018:05:25:08:16:41.939,2018:05:25:13:45:47.583,19745.644
2018:05:25:14:40:38.930,2018:05:25:20:09:44.574,19745.644
2018:05:25:21:04:35.944,2018:05:26:02:33:41.584,19745.640
2018:05:26:03:28:32.968,2018:05:26:08:57:38.610,19745.642
2018:05:26:09:52:30.016,2018:05:26:15:21:35.652,19745.637
2018:05:26:16:16:27.076,2018:05:26:21:45:32.708,19745.632
2018:05:26:22:40:24.154,2018:05:27:04:09:29.777,19745.623
2018:05:27:05:04:21.242,2018:05:27:10:33:26.857,19745.615
2018:05:27:11:28:18.343,2018:05:27:16:57:23.947,19745.604
2018:05:27:17:52:15.457,2018:05:27:23:21:21.045,19745.588
2018:05:28:00:16:12.575,2018:05:28:05:45:18.150,19745.575
2018:05:28:06:40:09.706,2018:05:28:12:09:15.260,19745.554
2018:05:28:13:04:06.839,2018:05:28:18:33:12.377,19745.538
2018:05:28:19:28:03.976,2018:05:29:00:57:09.491,19745.515
2018:05:29:01:52:01.114,2018:05:29:07:21:06.609,19745.495
2018:05:29:08:15:58.259,2018:05:29:13:45:03.725,19745.466
2018:05:29:14:39:55.399,2018:05:29:20:09:00.840,19745.441
2018:05:29:21:03:52.539,2018:05:30:02:32:57.952,19745.414
2018:05:30:03:27:49.674,2018:05:30:08:56:55.060,19745.385
2018:05:30:09:51:46.810,2018:05:30:15:20:52.161,19745.351
2018:05:30:16:15:43.937,2018:05:30:21:44:49.258,19745.321
2018:05:30:22:39:41.060,2018:05:31:04:08:46.340,19745.280
2018:05:31:05:03:38.168,2018:05:31:10:32:43.416,19745.247
2018:05:31:11:27:35.274,2018:05:31:16:56:40.480,19745.206
2018:05:31:17:51:32.365,2018:05:31:23:20:37.531,19745.166
2018:06:01:00:15:29.444,2018:06:01:05:44:34.569,19745.125
2018:06:01:06:39:26.510,2018:06:01:12:08:31.592,19745.083
2018:06:01:13:03:23.557,2018:06:01:18:32:28.600,19745.042
2018:06:01:19:27:20.593,2018:06:02:00:56:25.590,19744.997
2018:06:02:01:51:17.609,2018:06:02:07:20:22.562,19744.953
2018:06:02:08:15:14.610,2018:06:02:13:44:19.516,19744.906
2018:06:02:14:39:11.596,2018:06:02:20:08:16.449,19744.853
2018:06:02:21:03:08.555,2018:06:03:02:32:13.362,19744.807
2018:06:03:03:27:05.496,2018:06:03:08:56:10.253,19744.757
2018:06:03:09:51:02.415,2018:06:03:15:20:07.121,19744.706
2018:06:03:16:14:59.312,2018:06:03:21:44:03.966,19744.654
2018:06:03:22:38:56.186,2018:06:04:04:08:00.787,19744.601
2018:06:04:05:02:53.034,2018:06:04:10:31:57.583,19744.549
2018:06:04:11:26:49.864,2018:06:04:16:55:54.354,19744.490
2018:06:04:17:50:46.660,2018:06:04:23:19:51.098,19744.438
2018:06:05:00:14:43.433,2018:06:05:05:43:47.816,19744.383
2018:06:05:06:38:40.180,2018:06:05:12:07:44.507,19744.327
2018:06:05:13:02:36.896,2018:06:05:18:31:41.170,19744.274
2018:06:05:19:26:33.593,2018:06:06:00:55:37.805,19744.213
2018:06:06:01:50:30.256,2018:06:06:07:19:34.412,19744.157
2018:06:06:08:14:26.887,2018:06:06:13:43:30.990,19744.104
2018:06:06:14:38:23.492,2018:06:06:20:07:27.539,19744.047
2018:06:06:21:02:20.073,2018:06:07:02:31:24.059,19743.987
2018:06:07:03:26:16.620,2018:06:07:08:55:20.550,19743.930
2018:06:07:09:50:13.133,2018:06:07:15:19:17.011,19743.879
2018:06:07:16:14:09.625,2018:06:07:21:43:13.443,19743.819
2018:06:07:22:38:06.081,2018:06:08:04:07:09.846,19743.765
2018:06:08:05:02:02.513,2018:06:08:10:31:06.222,19743.709
2018:06:08:11:25:58.908,2018:06:08:16:55:02.565,19743.657
2018:06:08:17:49:55.283,2018:06:08:23:18:58.881,19743.598
2018:06:09:00:13:51.623,2018:06:09:05:42:55.170,19743.547
2018:06:09:06:37:47.935,2018:06:09:12:06:51.431,19743.496
2018:06:09:13:01:44.222,2018:06:09:18:30:47.666,19743.444
2018:06:09:19:25:40.481,2018:06:10:00:54:43.874,19743.393
2018:06:10:01:49:36.711,2018:06:10:07:18:40.058,19743.347
2018:06:10:08:13:32.921,2018:06:10:13:42:36.217,19743.296
2018:06:10:14:37:29.106,2018:06:10:20:06:32.354,19743.248
2018:06:10:21:01:25.261,2018:06:11:02:30:28.468,19743.208
2018:06:11:03:25:21.402,2018:06:11:08:54:24.563,19743.161
2018:06:11:09:49:17.519,2018:06:11:15:18:20.638,19743.119
2018:06:11:16:13:13.618,2018:06:11:21:42:16.696,19743.079
2018:06:11:22:37:09.693,2018:06:12:04:06:12.739,19743.046
2018:06:12:05:01:05.759,2018:06:12:10:30:08.768,19743.009
2018:06:12:11:25:01.809,2018:06:12:16:54:04.785,19742.975
2018:06:12:17:48:57.847,2018:06:12:23:18:00.792,19742.945
2018:06:13:00:12:53.873,2018:06:13:05:41:56.791,19742.918
2018:06:13:06:36:49.895,2018:06:13:12:05:52.785,19742.890
2018:06:13:13:00:45.910,2018:06:13:18:29:48.775,19742.866
2018:06:13:19:24:41.923,2018:06:14:00:53:44.765,19742.842
2018:06:14:01:48:37.929,2018:06:14:07:17:40.758,19742.828
2018:06:14:08:12:33.942,2018:06:14:13:41:36.749,19742.807
2018:06:14:14:36:29.953,2018:06:14:20:05:32.749,19742.796
2018:06:14:21:00:25.975,2018:06:15:02:29:28.757,19742.782
2018:06:15:03:24:22.003,2018:06:15:08:53:24.774,19742.772
2018:06:15:09:48:18.040,2018:06:15:15:17:20.807,19742.767
2018:06:15:16:12:14.085,2018:06:15:21:41:16.849,19742.764
2018:06:15:22:36:10.151,2018:06:16:04:05:12.910,19742.759
2018:06:16:05:00:06.229,2018:06:16:10:29:08.989,19742.760
2018:06:16:11:24:02.328,2018:06:16:16:53:05.088,19742.760
2018:06:16:17:47:58.448,2018:06:16:23:17:01.209,19742.761
2018:06:17:00:11:54.588,2018:06:17:05:40:57.353,19742.765
2018:06:17:06:35:50.754,2018:06:17:12:04:53.521,19742.767
2018:06:17:12:59:46.938,2018:06:17:18:28:49.716,19742.777
2018:06:17:19:23:43.152,2018:06:18:00:52:45.937,19742.784
2018:06:18:01:47:39.398,2018:06:18:07:16:42.185,19742.788
2018:06:18:08:11:35.667,2018:06:18:13:40:38.465,19742.799
2018:06:18:14:35:31.959,2018:06:18:20:04:34.769,19742.810
2018:06:18:20:59:28.290,2018:06:19:02:28:31.105,19742.815
2018:06:19:03:23:24.642,2018:06:19:08:52:27.472,19742.830
2018:06:19:09:47:21.033,2018:06:19:15:16:23.868,19742.835
2018:06:19:16:11:17.450,2018:06:19:21:40:20.295,19742.845
2018:06:19:22:35:13.893,2018:06:20:04:04:16.753,19742.860
2018:06:20:04:59:10.374,2018:06:20:10:28:13.240,19742.867
2018:06:20:11:23:06.883,2018:06:20:16:52:09.758,19742.875
2018:06:20:17:47:03.424,2018:06:20:23:16:06.310,19742.886
2018:06:21:00:10:59.992,2018:06:21:05:40:02.883,19742.890
2018:06:21:06:34:56.591,2018:06:21:12:03:59.489,19742.898
2018:06:21:12:58:53.218,2018:06:21:18:27:56.123,19742.905
2018:06:21:19:22:49.871,2018:06:22:00:51:52.784,19742.913
2018:06:22:01:46:46.555,2018:06:22:07:15:49.473,19742.918
2018:06:22:08:10:43.267,2018:06:22:13:39:46.187,19742.920
2018:06:22:14:34:40.002,2018:06:22:20:03:42.927,19742.925
2018:06:22:20:58:36.764,2018:06:23:02:27:39.691,19742.927
2018:06:23:03:22:33.548,2018:06:23:08:51:36.478,19742.930
2018:06:23:09:46:30.358,2018:06:23:15:15:33.288,19742.930
